id,region,start,end,strand
0,chr11,86708800,86709200,
1,chr16,4333400,4333800,
2,chr9,130852400,130852800,
3,chr11,70643000,70643200,
4,chr18,37679200,37679400,
5,chr5,12865200,12865800,
6,chr12,8129200,8129400,
7,chr19,2714000,2714200,
8,chr11,11782599,11783201,
9,chr1,243209400,243209800,
10,chr15,58010800,58011201,
11,chr12,25244800,25245000,
12,chr5,68023600,68024000,
13,chr2,30809200,30809400,
14,chr10,45061800,45062401,
15,chrX,7435200,7436000,
16,chr16,75427800,75428000,
17,chr2,145325599,145325801,
18,chr6,167311800,167312000,
19,chr18,10331600,10331800,
20,chr2,105348000,105348400,
21,chr2,205073400,205074000,
22,chr6,3782999,3783400,
23,chr3,144108000,144108200,
24,chr7,66535599,66536201,
25,chr14,83887600,83887800,
26,chr3,188563600,188564200,
27,chr3,27635600,27635800,
28,chr3,154668200,154668800,
29,chr14,60357800,60358000,
30,chr3,152157600,152158000,
31,chr8,97862200,97862400,
32,chr2,149902199,149902401,
33,chr11,100818000,100818400,
34,chr6,82878600,82879200,
35,chr20,14972200,14972600,
36,chr3,82633200,82634000,
37,chr4,7564600,7564800,
38,chr15,58480800,58481400,
39,chr11,62049400,62049600,
40,chr12,72139600,72140200,
41,chrX,33109800,33110200,
42,chr16,65474800,65475000,
43,chr3,74465600,74465800,
44,chr6,166398800,166399600,
45,chr6,92188800,92189000,
46,chr10,12082800,12083200,
47,chr10,111598200,111598601,
48,chr20,54628399,54628601,
49,chr8,19647000,19647400,
50,chr6,31697400,31698000,
51,chr8,18952000,18952200,
52,chr12,27469200,27469600,
53,chr10,14596200,14596400,
54,chr5,167805400,167805600,
55,chr5,5671600,5672400,
56,chr5,133698200,133698400,
57,chr13,92821200,92821600,
58,chr9,23565000,23565200,
59,chr1,232853400,232853600,
60,chr5,87782200,87782400,
61,chr2,103880800,103881000,
62,chr8,123727600,123727800,
63,chr5,159646800,159647200,
64,chrX,134402400,134403200,
65,chr18,52623200,52623600,
66,chr8,47725400,47726200,
67,chr7,98195200,98195800,
68,chr6,114247000,114247400,
69,chr6,150817200,150818001,
70,chr2,190587000,190587600,
71,chr6,74074600,74075200,
72,chr18,61883600,61883800,
73,chr2,207054799,207055601,
74,chr8,96944600,96945200,
75,chr19,28186000,28186200,
76,chr8,130377800,130378000,
77,chr17,33493599,33494000,
78,chr7,152779000,152779200,
79,chr2,7203199,7203401,
80,chr2,210818600,210818800,
81,chr3,184884600,184885200,
82,chr16,73407800,73408000,
