id,region,start,end,strand
0,chrX,106957877,106958254,
1,chrX,45153498,45153803,
2,chr14,93163558,93163977,
3,chr3,65627236,65627483,
4,chrX,95612377,95612862,
5,chr5,154482947,154483279,
6,chr2,202791100,202791320,
7,chr3,103218115,103218468,
8,chr1,238673677,238673780,
9,chr10,11906740,11907226,
10,chr1,64664219,64664776,
11,chr5,35240928,35241175,
12,chr11,98761134,98761266,
13,chr12,75614027,75614357,
14,chr8,14818604,14818845,
15,chr3,21713087,21713238,
16,chr2,139583357,139583619,
17,chr7,6939815,6940153,
18,chr13,23824409,23824761,
19,chr15,46898505,46898770,
20,chr9,132165038,132165359,
21,chr5,57754733,57754948,
22,chr7,150068936,150069210,
23,chr4,151841166,151841516,
24,chr13,57159701,57159974,
25,chr3,131395480,131395659,
26,chr16,50941720,50942005,
27,chr10,17694393,17694567,
28,chr5,170856103,170856425,
29,chr4,170872815,170873225,
30,chr6,44538964,44539305,
31,chr5,179400020,179400305,
32,chr5,41842937,41843131,
33,chr3,40130731,40131149,
34,chr22,43546275,43546646,
35,chr11,92445300,92445663,
36,chr1,99078088,99078428,
37,chr5,120297565,120297998,
38,chr22,38136661,38137057,
39,chr12,15376221,15376419,
40,chr2,943078,943511,
41,chr12,120642546,120642842,
42,chrX,100571807,100572126,
43,chr7,11783355,11783604,
44,chr6,32265478,32265714,
45,chr10,17479286,17479526,
46,chr22,11856691,11856988,
47,chr7,85829797,85830087,
48,chr8,136532453,136532742,
49,chr2,1801054,1801432,
50,chr18,72843536,72843743,
51,chrX,27115811,27115990,
52,chr12,28092402,28092892,
53,chr17,58745852,58746137,
54,chr3,165210202,165210454,
55,chr18,49776257,49776494,
56,chr15,82137295,82137561,
57,chr3,109697447,109697721,
58,chr1,17507935,17508270,
59,chrX,81270694,81270975,
60,chr22,38545879,38546254,
61,chrX,80205572,80205899,
62,chr4,64147386,64147767,
63,chr8,100731223,100731709,
64,chr11,115906294,115906663,
65,chr6,88532496,88532846,
66,chr12,51817138,51817520,
67,chr11,21532086,21532378,
68,chr1,29816155,29816273,
69,chr22,23663611,23663985,
70,chr10,103067387,103067674,
71,chr11,40686815,40687150,
72,chr15,88683257,88683697,
73,chr8,62593807,62594085,
74,chr4,119007216,119007305,
75,chr11,101182444,101182872,
76,chr9,132839316,132839540,
77,chr11,129237480,129237728,
78,chr11,8529700,8529911,
79,chr20,43761355,43761661,
80,chr18,79186443,79186666,
81,chr2,57875823,57876170,
82,chr2,135170001,135170503,
83,chr20,45485400,45485691,
84,chr13,65154666,65155024,
85,chr3,102952733,102952981,
86,chr1,149679397,149679631,
87,chr20,9889545,9889960,
88,chr2,168814070,168814370,
89,chr11,18785480,18785775,
90,chr10,130737748,130737941,
91,chr10,83023681,83024007,
92,chr3,153982914,153983158,
93,chr7,38395982,38396263,
94,chr1,56091980,56092262,
95,chr6,130873916,130874103,
96,chr11,22304370,22304799,
97,chr9,21093993,21094127,
98,chr10,96540288,96540538,
99,chr2,11503390,11503583,
100,chr3,165854538,165854886,
101,chrX,65974830,65975052,
102,chr9,114771958,114772248,
103,chr3,195622611,195622974,
104,chr1,148135274,148135404,
105,chr6,151211089,151211347,
106,chr12,123393679,123394129,
107,chr3,107409409,107409633,
108,chr6,70901484,70901724,
109,chr2,139754407,139754616,
110,chr1,118033898,118034315,
111,chr1,51945703,51945993,
112,chr12,3649177,3649476,
113,chr6,960274,960584,
114,chr22,20663333,20663496,
115,chr1,101723422,101723740,
116,chr19,9144949,9145073,
117,chr10,60266490,60266934,
118,chr12,68711078,68711246,
119,chr5,180558208,180558636,
120,chr17,66969781,66969972,
121,chr8,38879474,38879689,
122,chr12,37792509,37792776,
123,chr19,20280719,20281003,
124,chr8,74482903,74483102,
125,chr18,34718623,34718992,
126,chr12,131639992,131640311,
127,chr10,65162059,65162368,
128,chr2,30036989,30037343,
129,chr1,11063946,11064289,
130,chr14,38336364,38336654,
131,chr16,49924078,49924389,
132,chr7,46830279,46830577,
133,chr16,12638950,12639441,
134,chr8,120304675,120304938,
135,chr13,54450049,54450193,
136,chr4,162851471,162851645,
137,chr20,7716491,7716949,
138,chr20,50900263,50900536,
139,chr11,19651808,19652019,
140,chr8,51073654,51073895,
141,chr4,36603511,36603767,
142,chr21,10723083,10723393,
143,chr2,164675104,164675371,
144,chr1,58734294,58734555,
145,chr2,183162438,183162701,
146,chr1,211493808,211494293,
147,chr7,25820580,25820816,
148,chr2,214446016,214446283,
149,chrX,53515819,53516098,
150,chr18,42306259,42306493,
151,chr20,40009628,40009899,
152,chr2,126303098,126303553,
153,chr18,35814313,35814506,
