id,region,start,end,strand
0,chr22,39875199,39875601,
1,chr7,95589399,95589866,
2,chr7,95589867,95590333,
3,chr7,95590334,95590801,
4,chr7,93669800,93670200,
5,chr3,196206799,196207399,
6,chr3,196207400,196207999,
7,chr3,196208000,196208601,
8,chr3,127628600,127629267,
9,chr3,127629268,127629934,
10,chr3,127629935,127630601,
11,chr11,78415199,78415827,
12,chr11,78415828,78416455,
13,chr11,78416456,78417083,
14,chr11,78417084,78417711,
15,chr11,78417712,78418339,
16,chr11,78418340,78418967,
17,chr11,78418968,78419601,
18,chr2,219444799,219445001,
19,chr22,50341599,50342227,
20,chr22,50342228,50342855,
21,chr22,50342856,50343483,
22,chr22,50343484,50344111,
23,chr22,50344112,50344739,
24,chr22,50344740,50345367,
25,chr22,50345368,50346001,
26,chr19,16184200,16184760,
27,chr19,16184761,16185320,
28,chr19,16185321,16185880,
29,chr19,16185881,16186440,
30,chr19,16186441,16187001,
31,chr10,96740399,96740801,
32,chr19,35153399,35154039,
33,chr19,35154040,35154679,
34,chr19,35154680,35155319,
35,chr19,35155320,35155959,
36,chr19,35155960,35156601,
37,chr17,60743599,60744200,
38,chr17,60744201,60744801,
39,chr8,143288999,143289666,
40,chr8,143289667,143290333,
41,chr8,143290334,143291000,
42,chr8,143291001,143291667,
43,chr8,143291668,143292334,
44,chr8,143292335,143293001,
45,chr17,80413400,80414040,
46,chr17,80414041,80414680,
47,chr17,80414681,80415320,
48,chr17,80415321,80415960,
49,chr17,80415961,80416601,
50,chr1,28125799,28126001,
51,chr9,121962799,121963001,
52,chr12,57831599,57832001,
53,chr2,127637999,127638400,
54,chr2,127638401,127638801,
55,chr8,19937599,19938285,
56,chr8,19938286,19938971,
57,chr8,19938972,19939657,
58,chr8,19939658,19940343,
59,chr8,19940344,19941029,
60,chr8,19941030,19941715,
61,chr8,19941716,19942401,
62,chr11,68028999,68029639,
63,chr11,68029640,68030279,
64,chr11,68030280,68030919,
65,chr11,68030920,68031559,
66,chr11,68031560,68032201,
67,chr11,5598599,5598801,
68,chr3,195087399,195087900,
69,chr3,195087901,195088401,
70,chr12,55731799,55732001,
71,chr10,22345399,22345799,
72,chr10,22345800,22346200,
73,chr1,36371199,36371600,
74,chr1,36371601,36372001,
75,chr4,132344599,132345066,
76,chr4,132345067,132345533,
77,chr4,132345534,132346000,
78,chr3,52272199,52272700,
79,chr3,52272701,52273201,
80,chr2,43003399,43003801,
81,chr1,1229999,1230632,
82,chr1,1230633,1231265,
83,chr1,1231266,1231898,
84,chr1,1231899,1232531,
85,chr1,1232532,1233164,
86,chr1,1233165,1233801,
87,chr2,176092399,176093000,
88,chr2,176093001,176093601,
89,chr19,49515599,49515801,
90,chr14,24327999,24328401,
91,chr16,66524999,66525201,
92,chr22,42931199,42931800,
93,chr22,42931801,42932401,
94,chr12,47279999,47280401,
95,chr22,38088200,38088401,
96,chr9,113500999,113501632,
97,chr9,113501633,113502265,
98,chr9,113502266,113502898,
99,chr9,113502899,113503531,
100,chr9,113503532,113504164,
101,chr9,113504165,113504801,
102,chr17,28660399,28661079,
103,chr17,28661080,28661759,
104,chr17,28661760,28662439,
105,chr17,28662440,28663119,
106,chr17,28663120,28663801,
107,chr7,6269799,6270399,
108,chr7,6270400,6270999,
109,chr7,6271000,6271599,
110,chr7,6271600,6272199,
111,chr7,6272200,6272799,
112,chr7,6272800,6273401,
113,chr11,65225199,65225666,
114,chr11,65225667,65226133,
115,chr11,65226134,65226601,
116,chr16,81478799,81479201,
117,chr19,50908800,50909400,
118,chr19,50909401,50910001,
119,chr10,90870800,90871440,
120,chr10,90871441,90872080,
121,chr10,90872081,90872720,
122,chr10,90872721,90873360,
123,chr10,90873361,90874001,
124,chr16,30051999,30052649,
125,chr16,30052650,30053299,
126,chr16,30053300,30053949,
127,chr16,30053950,30054601,
128,chr2,85728799,85729401,
129,chr1,111128599,111128801,
130,chr17,12020399,12021049,
131,chr17,12021050,12021699,
132,chr17,12021700,12022349,
133,chr17,12022350,12023001,
134,chr18,23487799,23488300,
135,chr18,23488301,23488801,
136,chr1,212667199,212667800,
137,chr1,212667801,212668401,
138,chr2,867800,868400,
139,chr2,868401,869000,
140,chr2,869001,869601,
141,chr7,50321799,50322001,
142,chr12,48024199,48024600,
143,chr12,48024601,48025001,
144,chr1,156590799,156591349,
145,chr1,156591350,156591899,
146,chr1,156591900,156592449,
147,chr1,156592450,156593001,
148,chr19,40606999,40607401,
149,chr2,88015799,88016349,
150,chr2,88016350,88016899,
151,chr2,88016900,88017449,
152,chr2,88017450,88018001,
153,chr8,39995999,39996401,
154,chr17,75044799,75045466,
155,chr17,75045467,75046133,
156,chr17,75046134,75046800,
157,chr17,75046801,75047467,
158,chr17,75047468,75048134,
159,chr17,75048135,75048801,
160,chr4,183657599,183658199,
161,chr4,183658200,183658799,
162,chr4,183658800,183659399,
163,chr4,183659400,183659999,
164,chr4,183660000,183660599,
165,chr4,183660600,183661201,
166,chr15,41779199,41779401,
167,chr16,73143399,73143866,
168,chr16,73143867,73144333,
169,chr16,73144334,73144801,
170,chr5,140591799,140592001,
171,chr2,55692199,55692799,
172,chr2,55692800,55693399,
173,chr2,55693400,55693999,
174,chr2,55694000,55694599,
175,chr2,55694600,55695200,
176,chr7,100949000,100949467,
177,chr7,100949468,100949934,
178,chr7,100949935,100950401,
179,chr13,48537199,48537401,
180,chr17,68510999,68511656,
181,chr17,68511657,68512313,
182,chr17,68512314,68512970,
183,chr17,68512971,68513627,
184,chr17,68513628,68514284,
185,chr17,68514285,68514941,
186,chr17,68514942,68515601,
187,chr12,93740199,93740879,
188,chr12,93740880,93741559,
189,chr12,93741560,93742239,
190,chr12,93742240,93742919,
191,chr12,93742920,93743601,
192,chr16,3233599,3234159,
193,chr16,3234160,3234719,
194,chr16,3234720,3235279,
195,chr16,3235280,3235839,
196,chr16,3235840,3236401,
197,chr6,154994599,154995249,
198,chr6,154995250,154995899,
199,chr6,154995900,154996549,
200,chr6,154996550,154997201,
201,chr14,23033599,23034199,
202,chr14,23034200,23034799,
203,chr14,23034800,23035399,
204,chr14,23035400,23036001,
205,chr4,167233200,167233750,
206,chr4,167233751,167234300,
207,chr4,167234301,167234850,
208,chr4,167234851,167235400,
209,chr2,100106999,100107601,
210,chr7,35183999,35184639,
211,chr7,35184640,35185279,
212,chr7,35185280,35185919,
213,chr7,35185920,35186559,
214,chr7,35186560,35187201,
215,chr4,55543599,55544001,
216,chr1,209659999,209660201,
217,chrX,104074800,104075350,
218,chrX,104075351,104075900,
219,chrX,104075901,104076450,
220,chrX,104076451,104077000,
221,chr11,1751399,1751601,
222,chr2,20595599,20596001,
223,chr4,146243399,146243601,
224,chr2,240558999,240559666,
225,chr2,240559667,240560333,
226,chr2,240560334,240561000,
227,chr2,240561001,240561667,
228,chr2,240561668,240562334,
229,chr2,240562335,240563001,
230,chr7,22498799,22499466,
231,chr7,22499467,22500133,
232,chr7,22500134,22500801,
233,chr1,167483999,167484201,
234,chr4,107930599,107931159,
235,chr4,107931160,107931719,
236,chr4,107931720,107932279,
237,chr4,107932280,107932839,
238,chr4,107932840,107933401,
239,chr5,132463999,132464500,
240,chr5,132464501,132465001,
241,chr15,77083399,77083800,
242,chr15,77083801,77084201,
243,chr6,152697799,152698427,
244,chr6,152698428,152699055,
245,chr6,152699056,152699683,
246,chr6,152699684,152700311,
247,chr6,152700312,152700939,
248,chr6,152700940,152701567,
249,chr6,152701568,152702201,
250,chr1,1782199,1782700,
251,chr1,1782701,1783201,
252,chr7,33903599,33904199,
253,chr7,33904200,33904799,
254,chr7,33904800,33905399,
255,chr7,33905400,33905999,
256,chr7,33906000,33906599,
257,chr7,33906600,33907201,
258,chr3,157081799,157082001,
259,chr13,32314399,32315049,
260,chr13,32315050,32315699,
261,chr13,32315700,32316349,
262,chr13,32316350,32317001,
263,chr18,74288399,74288900,
264,chr18,74288901,74289401,
265,chr8,63166999,63167627,
266,chr8,63167628,63168255,
267,chr8,63168256,63168883,
268,chr8,63168884,63169511,
269,chr8,63169512,63170139,
270,chr8,63170140,63170767,
271,chr8,63170768,63171401,
272,chr10,97406599,97406801,
273,chr12,4024999,4025600,
274,chr12,4025601,4026201,
275,chr8,6706199,6706885,
276,chr8,6706886,6707571,
277,chr8,6707572,6708257,
278,chr8,6708258,6708943,
279,chr8,6708944,6709629,
280,chr8,6709630,6710315,
281,chr8,6710316,6711001,
282,chr11,75343399,75343800,
283,chr11,75343801,75344201,
284,chr19,5338399,5339079,
285,chr19,5339080,5339759,
286,chr19,5339760,5340439,
287,chr19,5340440,5341119,
288,chr19,5341120,5341800,
289,chr22,30435199,30435733,
290,chr22,30435734,30436267,
291,chr22,30436268,30436801,
292,chr19,11337399,11337999,
293,chr19,11338000,11338599,
294,chr19,11338600,11339199,
295,chr19,11339200,11339799,
296,chr19,11339800,11340401,
297,chr5,133966999,133967639,
298,chr5,133967640,133968279,
299,chr5,133968280,133968919,
300,chr5,133968920,133969559,
301,chr5,133969560,133970201,
302,chr12,128820399,128821085,
303,chr12,128821086,128821771,
304,chr12,128821772,128822457,
305,chr12,128822458,128823143,
306,chr12,128823144,128823829,
307,chr12,128823830,128824515,
308,chr12,128824516,128825201,
309,chr4,39364599,39365249,
310,chr4,39365250,39365899,
311,chr4,39365900,39366549,
312,chr4,39366550,39367201,
313,chr11,72702999,72703201,
314,chr2,74420799,74421349,
315,chr2,74421350,74421899,
316,chr2,74421900,74422449,
317,chr2,74422450,74423000,
318,chr12,46364599,46364801,
319,chr7,66847399,66847601,
320,chr6,340999,341201,
321,chr14,23153399,23153949,
322,chr14,23153950,23154499,
323,chr14,23154500,23155049,
324,chr14,23155050,23155601,
325,chr16,68040399,68040601,
326,chr2,191881400,191881800,
327,chr2,191881801,191882201,
328,chr22,46172599,46172801,
329,chr8,73991199,73991839,
330,chr8,73991840,73992479,
331,chr8,73992480,73993119,
332,chr8,73993120,73993759,
333,chr8,73993760,73994401,
334,chrX,24429600,24430000,
335,chr8,1801599,1802200,
336,chr8,1802201,1802801,
337,chr4,145096799,145097432,
338,chr4,145097433,145098065,
339,chr4,145098066,145098698,
340,chr4,145098699,145099331,
341,chr4,145099332,145099964,
342,chr4,145099965,145100601,
343,chr2,24792199,24792879,
344,chr2,24792880,24793559,
345,chr2,24793560,24794239,
346,chr2,24794240,24794919,
347,chr2,24794920,24795601,
348,chr17,82301199,82301759,
349,chr17,82301760,82302319,
350,chr17,82302320,82302879,
351,chr17,82302880,82303439,
352,chr17,82303440,82304001,
353,chr3,136929999,136930599,
354,chr3,136930600,136931199,
355,chr3,136931200,136931799,
